FID,Northing,Easting,Latitude,Longitude,Elevation,GCP,Location,Bound,KM_Marker,GCP_Name,Remark,Section
84,314429.153498185,411677.701013253,2.8409729557,101.702017142,33.9497,GP35,KL/SELANGOR,NB,36.5,GCP 85,,C6
85,316202.782688078,418797.888968489,2.8571576,101.7660197,40.2333,GP34,MELAKA/N.SEMBILAN,NB,44,GCP 86,,C6
86,334734.189662364,412908.06581942,3.02462300853,101.712662428,42.103,GP33,KL/SELANGOR,Layby SB,308.2,GCP 87,Layby Serdang SB,C5
87,324620.32758557,418235.620656634,2.93326916843,101.76079297,27.9077,GP32,KL/SELANGOR,Toll Plaza,296.5,GCP 88,Bangi Toll Plaza,C5
88,321721.027197687,418170.238221373,2.90704830857,101.760263489,43.6054,TBM10,KL/SELANGOR,Toll Plaza,293.5,GCP 89,Southville City Toll Plaza,C5
89,319016.059858492,421380.545841481,2.88265082979,101.789192702,49.4278,GP31,KL/SELANGOR,Toll Plaza,289,GCP 90,Putra Mahkota Toll Plaza,C5
90,313582.910421068,422340.822750783,2.83353586931,101.797936862,69.326,GP30,MELAKA/N.SEMBILAN,Toll Plaza,283.5,GCP 91,Nilai Toll Plaza,C5
91,305900.478545448,425888.945218996,2.76413035621,101.829996698,56.693,GP29,MELAKA/N.SEMBILAN,RSA SB,274.2,GCP 92,RSA Seremban SB,C5
92,305143.437367593,427706.466949329,2.75731909217,101.84635678,62.581,SN02,DL1- Seremban Northbound,RSA NB,272,GCP 93,RSA Seremban NB,C5
93,305097.220237041,427754.293520686,2.75690204852,101.846787777,62.0567,SN01,DL1- Seremban Northbound,RSA NB,272,GCP 94,RSA Seremban NB,C5
94,302410.616147561,431976.974572307,2.73268595292,101.884814077,83.1861,TBM11,MELAKA/N.SEMBILAN,Toll Plaza,267,GCP 95,Bandar Ainsdale Toll Plaza,C5
95,297321.810963868,437064.549278619,2.68675961819,101.930660298,41.7005,GP28,MELAKA/N.SEMBILAN,Toll Plaza,259.8,GCP 96,Port Dickson Toll Plaza NB,S1
96,288808.930293266,429218.986431612,2.60963081187,101.860265102,29.5059,GP98,MELAKA/N.SEMBILAN,EB,16.5,GCP 97,SPDH,SPDH
97,276901.31313797,429749.568649282,2.50195954716,101.865254592,17.6924,GP97,MELAKA/N.SEMBILAN,EB,30.3,GCP 98,SPDH,SPDH
98,292148.403761529,444266.607648932,2.64010250628,101.995518461,48.1872,GP27,MELAKA/N.SEMBILAN,Layby SB,249.7,GCP 99,Layby Senawang SB,S1
99,283964.81539715,449690.145746731,2.56618740523,102.044428817,50.8313,GP26,MELAKA/N.SEMBILAN,Toll Plaza,239.5,GCP 100,Pedas Linggi Toll Plaza,S1
100,276774.249805198,455108.748441535,2.50124942946,102.09327085,36.4581,GP25,MELAKA/N.SEMBILAN,Layby SB,230.2,GCP 101,Layby Pedas Linggi SB,S1
